A000022,G000309,d,1
A000022,S000596,c,0.5
A000022,G000272,c,1
A000022,B000318,d,1
A000022,D000267,d,1
A000022,D000267,d,1
A000022,F000392,d,1
A000022,B000880,a,1
A000022,F000392,d,0.5
A000022,M000249,c,0.5
A000022,H000074,d,1
A000022,D000267,d,1
A000022,S000596,c,0.5
A000022,F000270,d,1
A000022,D000429,d,1
A000022,G000153,c,0.5
A000022,O000107,c,1
A000022,L000226,c,0.5
A000022,D000373,c,0.5
A000022,G000309,d,0.5
A000022,L000226,c,0.5
A000022,L000226,c,0.5
A000022,D000267,d,1
A000022,M001120,c,0.5
A000022,J000255,a,1
A000022,F000392,d,1
A000022,D000267,d,1
A000022,L000226,c,0.5
A000022,D000373,c,0.5
A000022,B000431,c,0.5
A000022,L000226,c,0.5
A000022,I000025,e,1
A000022,A000069,e,1
A000022,T000162,c,-1
A000022,W000215,c,1
A000022,B000318,d,1
A000022,H000074,d,1
A000022,K000105,e,1
A000022,H000338,e,1
A000022,F000053,c,0.5
A000022,N000009,c,1
A000022,H000074,d,0.5
A000022,C000653,d,1
A000022,G000309,d,1
A000022,L000225,c,1
A000022,B000318,d,1
A000022,F000339,c,0.5
A000022,D000267,d,1
A000022,G000309,d,1
A000022,C000846,c,-1
A000022,W000215,c,1
A000022,B000619,d,1
A000022,W000215,c,1
A000022,S000596,c,0.5
A000022,B000318,d,0.5
A000022,F000392,d,1
A000022,S000596,c,0.5
A000022,B000410,c,1
A000022,K000105,e,-1
A000022,H000338,e,-1
A000022,G000272,c,-1
A000022,D000267,d,1
A000022,D000267,d,1
A000022,D000222,c,1
A000022,N000147,c,1
A000022,D000267,d,1
A000022,B000619,d,0.5
A000022,S000596,c,0.5
A000022,B000431,c,1
A000022,G000272,c,1
A000022,D000267,d,1
A000022,F000053,c,0.5
A000022,M000432,d,1
A000022,G000309,d,1
A000022,B000468,e,1
A000022,D000407,e,1
A000022,F000053,c,0.5
A000022,W000215,c,0.5
A000022,S000148,c,0.5
A000022,H000930,c,0.5
A000022,L000226,c,0.5
A000022,G000309,d,1
A000022,D000267,d,1
A000022,H000074,d,1
A000022,O000007,c,1
A000022,S000596,c,1
A000022,O000001,c,1
A000022,L000226,c,0.5
A000022,D000373,c,0.5
A000022,D000373,c,1
A000022,B000431,c,1
A000022,F000053,c,1
A000022,B000431,c,1
A000022,O000007,c,1
A000022,F000053,c,1
A000022,D000267,d,1
A000022,F000392,d,1
A000022,D000267,d,1
A000022,F000339,c,0.5
A000022,B000619,d,1
A000022,F000339,c,0.5
A000022,S000596,c,1
A000022,B000318,d,1
A000022,D000267,d,1
A000022,F000339,c,0.5
A000022,K000105,e,1
A000022,H000338,e,1
A000022,D000267,d,1
A000022,N000009,c,1
A000022,D000267,d,1
A000022,B000619,d,1
A000022,M000133,c,1
A000022,E000201,c,0.5
A000022,C000174,c,0.5
A000022,K000008,c,0.5
A000022,Y000013,c,1
A000022,B000619,d,1
A000022,D000373,c,0.5
A000022,F000392,d,1
